id;num_convention;date_sign_conv;date_debut_conv;echeance_conv;redevance;nom_responsable;statut;date_creation;date_modification;client_id
1;29408;2025-11-18;2025-11-18;2025-11-18;7128.72;main-d’œuvre d’autant que;BROUILLON;2025-11-18T16:12:27;2025-11-17T22:02:49;1
2;21674;2025-11-17;2025-11-18;2025-11-17;29545.65;correspondre renaître;SUSPENDUE;2025-11-18T12:24:51;2025-11-17T20:06:06;2
3;12378;2025-11-18;2025-11-18;2025-11-18;20640.28;tant à côté de vouh;ACTIVE;2025-11-17T22:17:36;2025-11-18T11:31:25;3
4;23100;2025-11-17;2025-11-18;2025-11-18;11551.46;joliment boum depuis;BROUILLON;2025-11-17T22:27:59;2025-11-18T06:54:29;4
5;31583;2025-11-18;2025-11-17;2025-11-18;6744.27;délectable placer intrépide;SUSPENDUE;2025-11-18T11:19:24;2025-11-18T00:02:29;5
6;2753;2025-11-18;2025-11-18;2025-11-17;13452.26;aussi trop super;ANNULEE;2025-11-18T04:01:22;2025-11-18T15:54:23;6
7;9668;2025-11-17;2025-11-18;2025-11-18;6437.34;main-d’œuvre toc;SUSPENDUE;2025-11-18T07:21:33;2025-11-18T06:05:47;7
8;30034;2025-11-17;2025-11-18;2025-11-18;677.25;cadre pendant que jaillir;TERMINEE;2025-11-17T20:58:00;2025-11-18T10:47:34;8
9;21863;2025-11-18;2025-11-18;2025-11-17;30007.73;oublier à l'égard de;BROUILLON;2025-11-18T19:45:41;2025-11-17T20:43:16;9
10;9071;2025-11-17;2025-11-18;2025-11-18;26950.69;soigner lunatique prestataire de services;BROUILLON;2025-11-18T11:33:36;2025-11-18T12:19:01;10
