id;designation;prix_unitaire;quantite;montant_total;observations;date_creation;convention_id
1;bof déceler jeune enfant;14702.66;19191;3116.01;../fake-data/blob/hipster.txt;2025-11-17;1
2;pourvu que hirsute;23468.28;31450;18719.67;../fake-data/blob/hipster.txt;2025-11-18;2
3;fourbe concurrence;12282.16;11422;12177.48;../fake-data/blob/hipster.txt;2025-11-18;3
4;mince trop;2433.87;3212;19475.16;../fake-data/blob/hipster.txt;2025-11-18;4
5;vlan;32439.96;1434;1553.29;../fake-data/blob/hipster.txt;2025-11-18;5
6;du moment que;16802.95;14206;5914.3;../fake-data/blob/hipster.txt;2025-11-17;6
7;dedans à défaut de;21425.91;32144;32021.84;../fake-data/blob/hipster.txt;2025-11-18;7
8;membre de l’équipe absolument;9562.46;30038;26098.84;../fake-data/blob/hipster.txt;2025-11-18;8
9;crac sans que;17937.54;25403;19338.42;../fake-data/blob/hipster.txt;2025-11-17;9
10;concurrence;28068.87;16667;23300.44;../fake-data/blob/hipster.txt;2025-11-18;10
