id;designation;prix_unitaire;quantite;montant_ht;taux_tva;montant_tva;montant_ttc;observations;facture_id
1;via en plus de partenaire;12963.27;4795;15690.09;6.96;1671.63;8501.36;débarrasser calculer outre;1
2;derechef;25472.27;14308;15732.45;31.85;14911.73;13003.04;franchir;2
3;au cas où rudement;19989.99;31916;21221.58;65.55;2686.09;15600.71;coac coac quant à;3
4;égoïste;4836.1;16072;13997;0.99;18302.21;27760.58;calme accentuer;4
5;gai ci en vérité;17179.37;14851;8259.68;76.66;17852.99;7618.11;badaboum;5
6;délégation endormir en decà de;24020.24;26141;7299.92;80.35;14166.59;22141.3;malade bzzz cadre;6
7;d’autant que produire hebdomadaire;24937.55;9634;31498.56;43.76;32620.31;25231.37;assez immense;7
8;lectorat déclencher;31040.97;17688;19651.03;56.36;1068.96;4402.54;cadre vlan;8
9;circulaire encore spécialiste;3096.76;28344;9981.63;68.18;25680.46;27026.06;retarder jouir;9
10;de peur que;2747.73;5003;12282.54;97.42;17898.43;30061.89;euh équipe;10
